Date,High,Low,Open,Close,Volume,Adj Close,Month,Day_month,Day_week,GDP,Fund_Rate,Unemployement,Neg,Neu,Pos
2019-11-26,3142.689941,3131,3134.850098,3140.52002,4595590000,3140.52002,11,26,1,2.1,1.55,3.5,0.026,0.828,0.146
2019-11-27,3154.26001,3143.409912,3145.48999,3153.629883,3033090000,3153.629883,11,27,2,2.1,1.55,3.5,0.027,0.794,0.179
2019-11-29,3150.300049,3139.340088,3147.179932,3140.97998,1743020000,3140.97998,11,29,4,2.1,1.56,3.5,0.025,0.813,0.162
2019-12-02,3144.310059,3110.780029,3143.850098,3113.870117,3268740000,3113.870117,12,2,0,2.1,1.56,3.5,0.022,0.833,0.146
2019-12-03,3094.969971,3070.330078,3087.409912,3093.199951,3653390000,3093.199951,12,3,1,2.1,1.55,3.5,0.026,0.831,0.143
2019-12-04,3119.379883,3102.530029,3103.5,3112.76001,3695030000,3112.76001,12,4,2,2.1,1.55,3.5,0.023,0.818,0.159
2019-12-05,3119.449951,3103.76001,3119.209961,3117.429932,3355750000,3117.429932,12,5,3,2.1,1.55,3.5,0.026,0.824,0.150
2019-12-06,3150.600098,3134.620117,3134.620117,3145.909912,3479480000,3145.909912,12,6,4,2.1,1.55,3.5,0.025,0.799,0.176
2019-12-09,3148.870117,3135.459961,3141.860107,3135.959961,3345990000,3135.959961,12,9,0,2.1,1.55,3.5,0.020,0.827,0.153
2019-12-10,3142.120117,3126.090088,3135.360107,3132.52002,3343790000,3132.52002,12,10,1,2.1,1.55,3.5,0.023,0.812,0.165
2019-12-11,3143.97998,3133.209961,3135.75,3141.629883,3252540000,3141.629883,12,11,2,2.1,1.55,3.5,0.031,0.814,0.156
2019-12-12,3176.280029,3138.469971,3141.22998,3168.570068,3990690000,3168.570068,12,12,3,2.1,1.55,3.5,0.024,0.826,0.150
2019-12-13,3182.679932,3156.51001,3166.649902,3168.800049,3736870000,3168.800049,12,13,4,2.1,1.55,3.5,0.018,0.835,0.147
2019-12-16,3197.709961,3183.629883,3183.629883,3191.449951,4051790000,3191.449951,12,16,0,2.1,1.56,3.5,0.024,0.826,0.151
2019-12-17,3198.219971,3191.030029,3195.399902,3192.52002,3837540000,3192.52002,12,17,1,2.1,1.55,3.5,0.033,0.814,0.153
2019-12-18,3198.47998,3191.139893,3195.209961,3191.139893,4014080000,3191.139893,12,18,2,2.1,1.55,3.5,0.020,0.811,0.169
2019-12-19,3205.47998,3192.320068,3192.320068,3205.370117,3720450000,3205.370117,12,19,3,2.1,1.55,3.5,0.023,0.832,0.145
2019-12-20,3225.649902,3216.030029,3223.330078,3221.219971,6454270000,3221.219971,12,20,4,2.1,1.55,3.5,0.021,0.824,0.155
2019-12-23,3227.780029,3222.300049,3226.050049,3224.01001,3060610000,3224.01001,12,23,0,2.1,1.55,3.5,0.018,0.823,0.160
2019-12-24,3226.429932,3220.51001,3225.449951,3223.379883,1296540000,3223.379883,12,24,1,2.1,1.55,3.5,0.018,0.823,0.160
2019-12-26,3240.080078,3227.199951,3227.199951,3239.909912,2160680000,3239.909912,12,26,3,2.1,1.55,3.5,0.035,0.785,0.180
2019-12-27,3247.929932,3234.370117,3247.22998,3240.02002,2428670000,3240.02002,12,27,4,2.1,1.55,3.5,0.017,0.828,0.155
2019-12-30,3240.919922,3216.570068,3240.090088,3221.290039,3013290000,3221.290039,12,30,0,2.1,1.55,3.5,0.026,0.805,0.169
2019-12-31,3231.719971,3212.030029,3215.179932,3230.780029,2893810000,3230.780029,12,31,1,2.1,1.55,3.5,0.041,0.788,0.172
2020-01-02,3258.139893,3235.530029,3244.669922,3257.850098,3458250000,3257.850098,1,2,3,0.01,1.55,3.6,0.016,0.853,0.132
2020-01-03,3246.149902,3222.340088,3226.360107,3234.850098,3461290000,3234.850098,1,3,4,0.01,1.55,3.6,0.029,0.794,0.177
2020-01-06,3246.840088,3214.639893,3217.550049,3246.280029,3674070000,3246.280029,1,6,0,0.01,1.55,3.6,0.018,0.834,0.148
2020-01-07,3244.909912,3232.429932,3241.860107,3237.179932,3420380000,3237.179932,1,7,1,0.01,1.55,3.6,0.022,0.831,0.148
2020-01-08,3267.070068,3236.669922,3238.590088,3253.050049,3720890000,3253.050049,1,8,2,0.01,1.55,3.6,0.026,0.828,0.146
2020-01-09,3275.580078,3263.669922,3266.030029,3274.699951,3638390000,3274.699951,1,9,3,0.01,1.55,3.6,0.024,0.819,0.157
2020-01-10,3282.98999,3260.860107,3281.810059,3265.350098,3212970000,3265.350098,1,10,4,0.01,1.54,3.6,0.011,0.867,0.122
2020-01-13,3288.129883,3268.429932,3271.129883,3288.129883,3456380000,3288.129883,1,13,0,0.01,1.54,3.6,0.029,0.829,0.142
2020-01-14,3294.25,3277.189941,3285.350098,3283.149902,3665130000,3283.149902,1,14,1,0.01,1.54,3.6,0.027,0.827,0.146
2020-01-15,3298.659912,3280.689941,3282.27002,3289.290039,3716840000,3289.290039,1,15,2,0.01,1.54,3.6,0.034,0.808,0.158
2020-01-16,3317.110107,3302.820068,3302.969971,3316.810059,3535080000,3316.810059,1,16,3,0.01,1.54,3.6,0.035,0.819,0.146
2020-01-17,3329.879883,3318.860107,3323.659912,3329.620117,3698170000,3329.620117,1,17,4,0.01,1.55,3.6,0.027,0.817,0.157
2020-01-21,3329.790039,3316.610107,3321.030029,3320.790039,4105340000,3320.790039,1,21,1,0.01,1.55,3.6,0.027,0.823,0.150
2020-01-22,3337.77002,3320.040039,3330.02002,3321.75,3619850000,3321.75,1,22,2,0.01,1.55,3.6,0.029,0.805,0.166
2020-01-23,3326.879883,3301.870117,3315.77002,3325.540039,3764860000,3325.540039,1,23,3,0.01,1.55,3.6,0.033,0.807,0.159
2020-01-24,3333.179932,3281.530029,3333.100098,3295.469971,3707130000,3295.469971,1,24,4,0.01,1.55,3.6,0.029,0.807,0.164
2020-01-27,3258.850098,3234.5,3247.159912,3243.629883,3823100000,3243.629883,1,27,0,0.01,1.55,3.6,0.028,0.824,0.148
2020-01-28,3285.780029,3253.219971,3255.350098,3276.23999,3526720000,3276.23999,1,28,1,0.01,1.55,3.6,0.033,0.817,0.150
