cik,txt_link
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465920051945/0001104659-20-051945.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465920039643/0001104659-20-039643.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465920037991/0001104659-20-037991.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465920007714/0001104659-20-007714.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465920007328/0001104659-20-007328.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465919065493/0001104659-19-065493.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465919060593/0001104659-19-060593.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465919060590/0001104659-19-060590.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465919055973/0001104659-19-055973.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000141057819001637/0001410578-19-001637.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000141057819000918/0001410578-19-000918.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465919041709/0001104659-19-041709.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000141057819000454/0001410578-19-000454.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000155837019005388/0001558370-19-005388.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465919029725/0001104659-19-029725.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465919026418/0001104659-19-026418.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465919023560/0001104659-19-023560.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465919015661/0001104659-19-015661.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000155837019001708/0001558370-19-001708.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465919010100/0001104659-19-010100.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465919006320/0001104659-19-006320.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465919003838/0001104659-19-003838.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918068651/0001104659-18-068651.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918067277/0001104659-18-067277.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918063417/0001104659-18-063417.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918056889/0001104659-18-056889.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918052645/0001104659-18-052645.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918051383/0001104659-18-051383.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918051185/0001104659-18-051185.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918046631/0001104659-18-046631.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918035756/0001104659-18-035756.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918031666/0001104659-18-031666.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000155837018004256/0001558370-18-004256.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918025950/0001104659-18-025950.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000155837018002122/0001558370-18-002122.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918015215/0001104659-18-015215.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918010779/0001104659-18-010779.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918004014/0001104659-18-004014.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465918003876/0001104659-18-003876.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465917072834/0001104659-17-072834.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465917072302/0001104659-17-072302.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465917063455/0001104659-17-063455.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465917061234/0001104659-17-061234.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465917060104/0001104659-17-060104.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465917058200/0001104659-17-058200.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465917051808/0001104659-17-051808.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465917046666/0001104659-17-046666.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465917040411/0001104659-17-040411.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465917031510/0001104659-17-031510.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465917030189/0001104659-17-030189.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000155837017003500/0001558370-17-003500.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465917025639/0001104659-17-025639.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000155837017001519/0001558370-17-001519.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465917003686/0001104659-17-003686.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916161775/0001104659-16-161775.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916157839/0001104659-16-157839.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916157269/0001104659-16-157269.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916151786/0001104659-16-151786.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916145376/0001104659-16-145376.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916134253/0001104659-16-134253.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916123653/0001104659-16-123653.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916122104/0001104659-16-122104.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000155837016006059/0001558370-16-006059.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916120442/0001104659-16-120442.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916120065/0001104659-16-120065.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916113961/0001104659-16-113961.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916108099/0001104659-16-108099.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000155837016004144/0001558370-16-004144.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916104498/0001104659-16-104498.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916093509/0001104659-16-093509.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916093125/0001104659-16-093125.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465916091334/0001104659-16-091334.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465915084790/0001104659-15-084790.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465915077663/0001104659-15-077663.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465915076736/0001104659-15-076736.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465915076256/0001104659-15-076256.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465915072044/0001104659-15-072044.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465915064478/0001104659-15-064478.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465915061821/0001104659-15-061821.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465915058019/0001104659-15-058019.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465915057617/0001104659-15-057617.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465915055789/0001104659-15-055789.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465915052731/0001104659-15-052731.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000090342315000399/0000903423-15-000399.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465915038992/0001104659-15-038992.txt
66740.0,https://www.sec.gov/Archives/edgar/data/66740/000110465915037720/0001104659-15-037720.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465920052424/0001104659-20-052424.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465920047187/0001104659-20-047187.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465920026170/0001104659-20-026170.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465920016749/0001104659-20-016749.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465920005717/0001104659-20-005717.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465920002145/0001104659-20-002145.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465919074388/0001104659-19-074388.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465919065447/0001104659-19-065447.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465919063029/0001104659-19-063029.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465919061944/0001104659-19-061944.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465919054283/0001104659-19-054283.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000141057819001645/0001410578-19-001645.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000141057819001152/0001410578-19-001152.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465919040664/0001104659-19-040664.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465919037443/0001104659-19-037443.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465919025282/0001104659-19-025282.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465919021809/0001104659-19-021809.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465919010347/0001104659-19-010347.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465919002848/0001104659-19-002848.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918070842/0001104659-18-070842.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918068436/0001104659-18-068436.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918064376/0001104659-18-064376.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918062380/0001104659-18-062380.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918062037/0001104659-18-062037.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918059457/0001104659-18-059457.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918057493/0001104659-18-057493.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918045642/0001104659-18-045642.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918041818/0001104659-18-041818.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918039200/0001104659-18-039200.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918028644/0001104659-18-028644.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918024701/0001104659-18-024701.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918019573/0001104659-18-019573.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465918003691/0001104659-18-003691.txt
1800.0,https://www.sec.gov/Archives/edgar/data/1800/000110465917062667/0001104659-17-062667.txt
