Date,High,Low,Open,Close,Volume,Adj Close,Month,Day_month,Day_week
2015-05-01,2108.409912109375,2087.3798828125,2087.3798828125,2108.2900390625,3379390000,2108.2900390625,5,1,4
2015-05-04,2120.949951171875,2110.22998046875,2110.22998046875,2114.489990234375,3091580000,2114.489990234375,5,4,0
2015-05-05,2115.239990234375,2088.4599609375,2112.6298828125,2089.4599609375,3793950000,2089.4599609375,5,5,1
2015-05-06,2098.419921875,2067.929931640625,2091.260009765625,2080.14990234375,3792210000,2080.14990234375,5,6,2
2015-05-07,2092.89990234375,2074.989990234375,2079.9599609375,2088.0,3676640000,2088.0,5,7,3
2015-05-08,2117.659912109375,2092.1298828125,2092.1298828125,2116.10009765625,3399440000,2116.10009765625,5,8,4
2015-05-11,2117.68994140625,2104.580078125,2115.56005859375,2105.330078125,2992670000,2105.330078125,5,11,0
2015-05-12,2105.06005859375,2085.570068359375,2102.8701171875,2099.1201171875,3139520000,2099.1201171875,5,12,1
2015-05-13,2110.18994140625,2096.0400390625,2099.6201171875,2098.47998046875,3374260000,2098.47998046875,5,13,2
2015-05-14,2121.449951171875,2100.429931640625,2100.429931640625,2121.10009765625,3225740000,2121.10009765625,5,14,3
2015-05-15,2123.889892578125,2116.81005859375,2122.070068359375,2122.72998046875,3092080000,2122.72998046875,5,15,4
2015-05-18,2131.780029296875,2120.010009765625,2121.300048828125,2129.199951171875,2888190000,2129.199951171875,5,18,0
2015-05-19,2133.02001953125,2124.5,2129.449951171875,2127.830078125,3296030000,2127.830078125,5,19,1
2015-05-20,2134.719970703125,2122.590087890625,2127.7900390625,2125.85009765625,3025880000,2125.85009765625,5,20,2
2015-05-21,2134.280029296875,2122.949951171875,2125.550048828125,2130.820068359375,3070460000,2130.820068359375,5,21,3
2015-05-22,2132.14990234375,2126.06005859375,2130.360107421875,2126.06005859375,2571860000,2126.06005859375,5,22,4
2015-05-26,2125.340087890625,2099.179931640625,2125.340087890625,2104.199951171875,3342130000,2104.199951171875,5,26,1
2015-05-27,2126.219970703125,2105.1298828125,2105.1298828125,2123.47998046875,3127960000,2123.47998046875,5,27,2
2015-05-28,2122.27001953125,2112.860107421875,2122.27001953125,2120.7900390625,2980350000,2120.7900390625,5,28,3
2015-05-29,2120.659912109375,2104.889892578125,2120.659912109375,2107.389892578125,3927390000,2107.389892578125,5,29,4
2015-06-01,2119.14990234375,2102.5400390625,2108.639892578125,2111.72998046875,3011710000,2111.72998046875,6,1,0
2015-06-02,2117.590087890625,2099.139892578125,2110.409912109375,2109.60009765625,3049350000,2109.60009765625,6,2,1
2015-06-03,2121.919921875,2109.610107421875,2110.639892578125,2114.070068359375,3099980000,2114.070068359375,6,3,2
2015-06-04,2112.889892578125,2093.22998046875,2112.35009765625,2095.840087890625,3200050000,2095.840087890625,6,4,3
2015-06-05,2100.989990234375,2085.669921875,2095.090087890625,2092.830078125,3243690000,2092.830078125,6,5,4
2015-06-08,2093.010009765625,2079.110107421875,2092.340087890625,2079.280029296875,2917150000,2079.280029296875,6,8,0
2015-06-09,2085.6201171875,2072.139892578125,2079.070068359375,2080.14990234375,3034580000,2080.14990234375,6,9,1
2015-06-10,2108.5,2081.1201171875,2081.1201171875,2105.199951171875,3414320000,2105.199951171875,6,10,2
2015-06-11,2115.02001953125,2106.239990234375,2106.239990234375,2108.860107421875,3128600000,2108.860107421875,6,11,3
2015-06-12,2107.429931640625,2091.330078125,2107.429931640625,2094.110107421875,2719400000,2094.110107421875,6,12,4
2015-06-15,2091.340087890625,2072.489990234375,2091.340087890625,2084.429931640625,3061570000,2084.429931640625,6,15,0
2015-06-16,2097.39990234375,2082.10009765625,2084.260009765625,2096.2900390625,2919900000,2096.2900390625,6,16,1
2015-06-17,2106.7900390625,2088.860107421875,2097.39990234375,2100.43994140625,3222240000,2100.43994140625,6,17,2
2015-06-18,2126.64990234375,2101.580078125,2101.580078125,2121.239990234375,3520360000,2121.239990234375,6,18,3
2015-06-19,2121.639892578125,2109.449951171875,2121.06005859375,2109.989990234375,4449810000,2109.989990234375,6,19,4
2015-06-22,2129.8701171875,2112.5,2112.5,2122.85009765625,3030020000,2122.85009765625,6,22,0
